id,symbol,price_start,price_end,price_max,price_min,volume,time_epoch,date_time
1,btc,0.00,7094000.00,0.00,0.00,0.00,1529944200000,"2018-06-25 16:30:00"
2,eth,0.00,521000.00,0.00,0.00,0.00,1529944200000,"2018-06-25 16:30:00"
3,xrp,0.00,542.00,0.00,0.00,0.00,1529944200000,"2018-06-25 16:30:00"
4,bch,0.00,856000.00,0.00,0.00,0.00,1529944200000,"2018-06-25 16:30:00"
5,ltc,0.00,93000.00,0.00,0.00,0.00,1529944200000,"2018-06-25 16:30:00"
6,dash,0.00,271300.00,0.00,0.00,0.00,1529944200000,"2018-06-25 16:30:00"
7,etc,0.00,17830.00,0.00,0.00,0.00,1529944200000,"2018-06-25 16:30:00"
8,btc,0.00,7046000.00,0.00,0.00,0.00,1529947800000,"2018-06-25 17:30:00"
9,eth,0.00,521000.00,0.00,0.00,0.00,1529947800000,"2018-06-25 17:30:00"
10,xrp,0.00,541.00,0.00,0.00,0.00,1529947800000,"2018-06-25 17:30:00"
11,bch,0.00,854000.00,0.00,0.00,0.00,1529947800000,"2018-06-25 17:30:00"
12,ltc,0.00,92500.00,0.00,0.00,0.00,1529947800000,"2018-06-25 17:30:00"
13,dash,0.00,271200.00,0.00,0.00,0.00,1529947800000,"2018-06-25 17:30:00"
14,etc,0.00,17760.00,0.00,0.00,0.00,1529947800000,"2018-06-25 17:30:00"
15,btc,0.00,7048000.00,0.00,0.00,0.00,1529949600000,"2018-06-25 18:00:00"
16,eth,0.00,521000.00,0.00,0.00,0.00,1529949600000,"2018-06-25 18:00:00"
17,xrp,0.00,542.00,0.00,0.00,0.00,1529949600000,"2018-06-25 18:00:00"
18,bch,0.00,856000.00,0.00,0.00,0.00,1529949600000,"2018-06-25 18:00:00"
19,ltc,0.00,92400.00,0.00,0.00,0.00,1529949600000,"2018-06-25 18:00:00"
20,dash,0.00,273000.00,0.00,0.00,0.00,1529949600000,"2018-06-25 18:00:00"
21,etc,0.00,17750.00,0.00,0.00,0.00,1529949600000,"2018-06-25 18:00:00"
22,btc,0.00,7052000.00,0.00,0.00,0.00,1529951400000,"2018-06-25 18:30:00"
23,eth,0.00,521000.00,0.00,0.00,0.00,1529951400000,"2018-06-25 18:30:00"
24,xrp,0.00,542.00,0.00,0.00,0.00,1529951400000,"2018-06-25 18:30:00"
25,bch,0.00,852000.00,0.00,0.00,0.00,1529951400000,"2018-06-25 18:30:00"
26,ltc,0.00,93200.00,0.00,0.00,0.00,1529951400000,"2018-06-25 18:30:00"
27,dash,0.00,273000.00,0.00,0.00,0.00,1529951400000,"2018-06-25 18:30:00"
28,etc,0.00,17860.00,0.00,0.00,0.00,1529951400000,"2018-06-25 18:30:00"
29,btc,0.00,7042000.00,0.00,0.00,0.00,1529953200000,"2018-06-25 19:00:00"
30,eth,0.00,520000.00,0.00,0.00,0.00,1529953200000,"2018-06-25 19:00:00"
31,xrp,0.00,540.00,0.00,0.00,0.00,1529953200000,"2018-06-25 19:00:00"
32,bch,0.00,851000.00,0.00,0.00,0.00,1529953200000,"2018-06-25 19:00:00"
33,ltc,0.00,92700.00,0.00,0.00,0.00,1529953200000,"2018-06-25 19:00:00"
34,dash,0.00,273000.00,0.00,0.00,0.00,1529953200000,"2018-06-25 19:00:00"
35,etc,0.00,17700.00,0.00,0.00,0.00,1529953200000,"2018-06-25 19:00:00"
36,btc,0.00,7018000.00,0.00,0.00,0.00,1529955000000,"2018-06-25 19:30:00"
37,eth,0.00,518000.00,0.00,0.00,0.00,1529955000000,"2018-06-25 19:30:00"
38,xrp,0.00,539.00,0.00,0.00,0.00,1529955000000,"2018-06-25 19:30:00"
39,bch,0.00,850000.00,0.00,0.00,0.00,1529955000000,"2018-06-25 19:30:00"
40,ltc,0.00,92000.00,0.00,0.00,0.00,1529955000000,"2018-06-25 19:30:00"
41,dash,0.00,271000.00,0.00,0.00,0.00,1529955000000,"2018-06-25 19:30:00"
42,etc,0.00,17610.00,0.00,0.00,0.00,1529955000000,"2018-06-25 19:30:00"
43,btc,0.00,7050000.00,0.00,0.00,0.00,1529956800000,"2018-06-25 20:00:00"
44,eth,0.00,518000.00,0.00,0.00,0.00,1529956800000,"2018-06-25 20:00:00"
45,xrp,0.00,538.00,0.00,0.00,0.00,1529956800000,"2018-06-25 20:00:00"
46,bch,0.00,854000.00,0.00,0.00,0.00,1529956800000,"2018-06-25 20:00:00"
47,ltc,0.00,92100.00,0.00,0.00,0.00,1529956800000,"2018-06-25 20:00:00"
48,dash,0.00,272900.00,0.00,0.00,0.00,1529956800000,"2018-06-25 20:00:00"
49,etc,0.00,17730.00,0.00,0.00,0.00,1529956800000,"2018-06-25 20:00:00"
50,btc,0.00,7056000.00,0.00,0.00,0.00,1529958600000,"2018-06-25 20:30:00"
51,eth,0.00,518500.00,0.00,0.00,0.00,1529958600000,"2018-06-25 20:30:00"
52,xrp,0.00,540.00,0.00,0.00,0.00,1529958600000,"2018-06-25 20:30:00"
53,bch,0.00,852000.00,0.00,0.00,0.00,1529958600000,"2018-06-25 20:30:00"
54,ltc,0.00,92200.00,0.00,0.00,0.00,1529958600000,"2018-06-25 20:30:00"
55,dash,0.00,273700.00,0.00,0.00,0.00,1529958600000,"2018-06-25 20:30:00"
56,etc,0.00,17730.00,0.00,0.00,0.00,1529958600000,"2018-06-25 20:30:00"
57,btc,0.00,7038000.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
58,eth,0.00,517500.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
59,xrp,0.00,539.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
60,bch,0.00,850000.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
61,ltc,0.00,91900.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
62,dash,0.00,273000.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
63,etc,0.00,17750.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
64,btc,0.00,7032000.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
65,eth,0.00,518500.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
66,xrp,0.00,539.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
67,bch,0.00,848000.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
68,ltc,0.00,92400.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
69,dash,0.00,270800.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
70,etc,0.00,17780.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
71,btc,0.00,7050000.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
72,eth,0.00,520500.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
73,xrp,0.00,542.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
74,bch,0.00,850000.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
