ID,JOURNAL_ID,YEAR,MONTH,ORIGINAL_SUBMISSIONS,ORIGINAL_SUBMISSION_CONFIRMED,FIRST_REVISED_SUBMISSIONS,FIRST_REVISED_SUBMISSION_CONFIRMED,SECOND_REVISED_SUBMISSIONS,SECOND_REVISED_SUBMISSION_CONFIRMED,OVER_THIRD_REVISED_SUBMISSIONS,OVER_THIRD_REVISED_SUBMISSION_CONFIRMED,CAMERA_READY_SUBMISSION,GALLEY_PROOF_CONFIRMS,ACCEPTED,REJECTED,REVISION_REQUESTS,WITHDRAWNS,PUBLISHED,REVIEW_INVITED,REVIEW_INVITE_ACCEPTED,REVIEW_ASSIGNED,REVIEW_RESULT_SUBMISSIONS
1,1,2012,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2012,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2012,3,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2012,4,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,1,2012,5,17,15,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
6,1,2012,6,9,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1,2012,7,7,6,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
8,1,2012,8,14,11,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
9,1,2012,9,9,5,4,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
10,1,2012,10,12,8,4,4,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0
11,1,2012,11,10,8,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
12,1,2012,12,9,8,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
13,1,2013,1,11,8,2,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
14,1,2013,2,20,17,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0
15,1,2013,3,17,14,2,2,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0
16,1,2013,4,26,23,1,1,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0
17,1,2013,5,16,14,7,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
18,1,2013,6,18,15,2,2,1,1,0,0,0,0,4,13,0,0,0,0,0,0,0
19,1,2013,7,21,15,5,5,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0
20,1,2013,8,19,20,5,5,1,1,1,1,0,0,7,7,0,0,0,0,0,0,0
21,1,2013,9,25,17,6,5,3,2,0,0,0,0,7,4,0,0,0,0,0,0,0
22,1,2013,10,27,25,2,3,1,2,0,0,0,0,6,2,0,0,0,0,0,0,0
23,1,2013,11,22,12,3,3,1,1,0,0,0,0,5,9,0,0,0,0,0,0,0
24,1,2013,12,32,16,4,4,0,0,1,1,0,0,10,7,0,0,0,0,0,0,0
25,1,2014,1,22,9,4,3,1,1,0,0,0,0,5,7,0,0,0,0,0,0,0
26,1,2014,2,27,19,2,2,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0
27,1,2014,3,31,19,9,8,1,2,0,0,0,0,17,7,0,0,0,0,0,0,0
28,1,2014,4,26,13,2,2,2,0,0,0,0,0,5,8,0,0,0,0,0,0,0
29,1,2014,5,32,17,5,6,3,4,1,1,0,0,6,5,0,0,0,0,0,0,0
30,1,2014,6,19,12,0,0,0,1,0,0,0,0,6,9,0,0,0,0,0,0,0
31,1,2014,7,30,22,5,4,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0
32,1,2014,8,27,8,2,3,1,1,1,1,0,0,3,10,0,0,0,0,0,0,0
33,1,2014,9,27,21,3,3,2,2,0,0,0,0,5,5,0,0,0,0,0,0,0
34,1,2014,10,26,15,3,0,0,0,0,0,0,0,7,14,0,0,10,0,0,0,0
35,1,2014,11,37,24,2,2,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0
36,1,2014,12,27,24,3,3,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0
37,1,2015,1,55,30,3,3,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
38,1,2015,2,35,9,5,4,1,1,0,0,0,0,3,8,0,0,0,0,0,0,0
39,1,2015,3,53,18,5,5,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0
40,1,2015,4,58,29,1,1,0,0,0,0,0,0,4,2,0,0,11,0,0,0,0
41,1,2015,5,44,23,1,1,2,2,0,0,2,0,4,6,6,0,0,157,24,12,0
42,9,2015,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,2015,6,51,25,7,7,0,1,0,0,7,11,5,3,1,0,0,140,55,3,0
44,1,2015,7,50,33,1,1,0,0,0,0,10,0,8,15,8,0,11,211,48,21,0
45,1,2015,8,50,36,8,8,3,3,0,0,13,0,12,7,12,0,0,330,89,9,0
46,9,2015,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,2015,9,50,11,6,3,0,0,0,0,9,0,7,15,12,0,0,57,24,4,0
48,1,2015,10,45,23,9,8,1,1,0,0,12,11,10,10,4,0,6,158,50,14,0
49,1,2015,11,38,18,1,4,1,1,1,1,10,0,1,1,0,0,5,117,38,3,0
51,95,2015,11,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0
52,1,2015,12,34,21,3,2,0,0,0,0,6,11,4,4,2,0,11,218,32,3,0
53,56,2015,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,98,2015,12,11,11,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,22,0
55,95,2015,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
57,1,2016,1,38,31,0,0,0,0,0,0,20,0,19,12,3,0,0,289,75,3,29
58,98,2016,1,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,1
59,99,2016,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,95,2016,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,2016,2,28,23,3,3,1,1,0,0,16,0,5,19,3,0,0,246,44,40,72
62,95,2016,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,98,2016,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,1,2016,3,37,29,4,3,0,0,0,0,7,13,7,39,3,0,11,259,44,7,41
66,95,2016,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,98,2016,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,108,2016,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,99,99
69,108,2015,4,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
70,108,2015,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,108,2015,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,108,2015,7,2,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
73,108,2015,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,108,2015,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,108,2015,10,3,3,0,0,0,0,0,0,0,0,4,1,0,0,4,0,0,0,0
76,108,2015,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,108,2015,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,108,2016,1,3,2,0,0,0,0,0,0,0,0,8,5,0,0,8,0,0,0,0
79,108,2016,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,2016,4,20,24,3,2,0,0,0,0,8,0,3,9,4,0,0,107,26,2,34
81,108,2016,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,134
83,1,2016,5,23,14,3,3,0,0,1,1,7,0,6,15,3,0,0,61,20,2,31
84,116,2016,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,4,3
85,108,2016,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,115,2016,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,116,2016,6,3,3,0,0,0,0,0,0,1,1,1,2,1,0,1,43,7,1,4
